Post,Company,Experience,Level,Salary,Deadline
Program Coordinator – BCSIT,Liberty College,More than 5 years,Senior Level,Not Disclosed,2025-12-31
Finance Manager,Liberty College,More than 5 years,Senior Level,Not Disclosed,2025-12-31
Junior Officer – Finance and Revenue,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Librarian,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Communication Officer,Liberty College,More than 1 year,Mid Level,Not Disclosed,2025-12-31
Credit Analyst,Outsourced Experts,More than 1 year,Mid Level,Not Disclosed,2025-12-31
Project Officer,SOS Children's Villages Nepal,More than 3 years,Mid Level,Not Disclosed,2025-12-31
Project Coordinator,SOS Children's Villages Nepal,More than 5 years,Senior Level,Not Disclosed,2025-12-31
Admin and Finance Officer,SOS Children's Villages Nepal,More than 3 years,Mid Level,Not Disclosed,2025-12-31
Monitoring and Evaluation Officer,SOS Children's Villages Nepal,More than 3 years,Mid Level,Not Disclosed,2025-12-31
Technical Officer (Civil Overseer),SOS Children's Villages Nepal,More than 3 years,Mid Level,Not Disclosed,2025-12-31
Full Stack Developer,Audit Partnership,More than 2 years,Mid Level,Not Disclosed,2025-12-31
GS Admissions Officer,Study Info Centre,More than 1 year,Mid Level,Not Disclosed,2025-12-31
Project Sales Manager,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-01-01
Sales Officer,CTEX Import & Export,More than 1 year,Mid Level,Not Disclosed,2026-01-01
Senior Program Coordinator,KFA,More than 5 years,Senior Level,Not Disclosed,2026-01-01
Accounts Assistant,Hotel Black Diamond,More than 1 year,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-01-01
Front Desk Officer,IEC College of Art and Fashion,More than 1 year,Mid Level,Not Disclosed,2026-01-01
Social Media Manager / Coordinator,A Leading Beauty Company,More than 2 years,Mid Level,Not Disclosed,2026-01-01
Assistant General Manager – Account,Ambe Group,More than 5 years,Senior Level,Not Disclosed,2026-01-01
Front Desk Officer,Autism Care Nepal Society,More than 1 year,Mid Level,Not Disclosed,2026-01-01
Store Assistant,Tuisa Jewels,More than 1 year,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-01-02
Sales Officer,Agro Thai Foods,Not Required,Mid Level,Not Disclosed,2026-01-02
Accounts Associate,Gurukul Commerce Academy,More than 1 year,Mid Level,Not Disclosed,2026-01-02
Head - Engineering,Q.Y.E.C. Construction,More than 12 years,Top Level,Not Disclosed,2026-01-02
Project Manager,Dreamline Construction,More than 1 year,Mid Level,"NRs. 65,000 Monthly",2026-01-02
Architect,Dreamline Construction,More than 1 year,Mid Level,"NRs. 45,000 Monthly",2026-01-02
Accountant,Dreamline Construction,More than 1 year,Mid Level,"NRs. 30,000 Monthly",2026-01-02
Chief Enterprise Business Officer,Ncell,More than or equal to 10 years,Top Level,Not Disclosed,2026-01-02
Chief Digital Channels and Experience Officer,Ncell,More than or equal to 20 years,Top Level,Not Disclosed,2026-01-02
Program Coordinator / Manager,Ace Group,More than 2 years,Mid Level,Not Disclosed,2026-01-03
Technical Support and Customer Care Executive,Northwest Amusement,More than 1 year,Mid Level,Not Disclosed,2026-01-03
Executive chef,Hotel Black Diamond,More than 5 years,Senior Level,"NRs. 40,000 Monthly",2026-01-03
Lead - Corporate and Project Sales,Brilliant,More than 5 years,Senior Level,Not Disclosed,2026-01-03
Graphic Designer and Social Media In-Charge,Brilliant,More than 2 years,Mid Level,Not Disclosed,2026-01-03
Senior Accountants,Kathmandu Commerce & Trade (Bravo),More than 2 years,Senior Level,Not Disclosed,2026-01-03
Project Manager,Digital Network Solution,More than 3 years,Mid Level,Not Disclosed,2026-01-03
Marketing Officer,Ace Group,More than 1 year,Mid Level,Not Disclosed,2026-01-04
Field Sales Representative,Raymiyo Trading,More than 1 year,Mid Level,Not Disclosed,2026-01-04
Head - Research Centre,Ace Group,More than 3 years,Senior Level,Not Disclosed,2026-01-05
Senior Accounts Executive,Brilliant,More than 3 years,Senior Level,Not Disclosed,2026-01-05
UK Counselor,Real Dreams Education Consultancy Center,More than 1 year,Mid Level,Not Disclosed,2026-01-05
Australia Counselor,Real Dreams Education Consultancy Center,More than 1 year,Mid Level,Not Disclosed,2026-01-05
Digital Marketing Executive,Real Dreams Education Consultancy Center,More than 1 year,Mid Level,Not Disclosed,2026-01-05
Receptionist,Real Dreams Education Consultancy Center,Equal to 1 year,Entry Level,Not Disclosed,2026-01-05
Partnership Advisor,GIZ,More than 3 years,Mid Level,Not Disclosed,2026-01-05
